Value,EmailAddress
OPSAgreedValues,OPSAgreedValues@markerstudy.com
OPSDrivingLicence,OPSDrivingLicence@markerstudy.com
OPSEmailFailures,OPSEmailFailures@markerstudy.com
OPSQTPrintOuts,OPSQTPrintOuts@markerstudy.com
OPSCancellations,OPSCancellations@markerstudy.com
OPSNonMID,OPSNonMID@markerstudy.com
OPSNCB,OPSNCB@markerstudy.com
OPSTemp,OPSTemp@markerstudy.com
OPSRenewals,OPSRenewals@markerstudy.com
OPSMIDCritical,OPSMIDCritical@markerstudy.com
OPSNewBusiness,OPSNewBusiness@markerstudy.com
OPSPost,OPSPost@markerstudy.com
NonStandardAdmin,non-standard.admin@markerstudy.com
UKFMY,FamilyFleet@markerstudy.com
UKFMV,FleetPost@markerstudy.com
UKMTR,MTRReferrals@markerstudy.com
FLEETMIDCritical,FLEETMIDCritical@markerstudy.com
FLEETRenewals,FLEETRenewals@markerstudy.com
FLEETNonMID,FLEETNonMID@markerstudy.com
FLEETClosing,FLEETClosing@markerstudy.com
FLEETNewBusiness,FLEETNewBusiness@markerstudy.com
