Key,Value
MID CRITICAL,OPSMIDCritical
MIDCRITICAL,OPSMIDCritical
MID-CRITICAL,OPSMIDCritical
MID CRIT,OPSMIDCritical
MIDCRIT,OPSMIDCritical
MID-CRIT,OPSMIDCritical
REINSTATEMENT,OPSMIDCritical
AGV,OPSAgreedValues
AGREED VALUES,OPSAgreedValues
AGREEDVALUES,OPSAgreedValues
AGREED VALUE,OPSAgreedValues
AGREEDVALUE,OPSAgreedValues
CDL,OPSDrivingLicence
LICENCE,OPSDrivingLicence
LICENSE,OPSDrivingLicence
DVLA SUMMARY,OPSDrivingLicence
DVLASUMMARY,OPSDrivingLicence
PHOTO CARD,OPSDrivingLicence
PHOTOCARD,OPSDrivingLicence
UNDELIVERABLE,OPSEmailFailures
EMAIL DELIVERY,OPSEmailFailures
FAILURE,OPSEmailFailures
QUOTE,OPSQTPrintOuts
CALCULATION,OPSQTPrintOuts
CANC,OPSCancellations
CANCELLATION,OPSCancellations
CANX,OPSCancellations
NON MID,OPSNonMID
NONMID,OPSNonMID
EU,OPSNonMID
FOREIGN USE,OPSNonMID
FOREIGNUSE,OPSNonMID
GREEN CARD,OPSNonMID
GREENCARD,OPSNonMID
MOD,OPSNonMID
NCB,OPSNCB
NCD,OPSNCB
PROOF,OPSNCB
LAPSE,OPSNCB
BONUS,OPSNCB
POB,OPSNCB
TEMP,OPSTemp
TEMPORARY,OPSTemp
TAD,OPSTemp
TAV,OPSTemp
ADJUSTMENT,OPSTemp
REN,OPSRenewals
RENEW,OPSRenewals
RENEWAL,OPSRenewals
RNL,OPSRenewals
NB,OPSNewBusiness
NEW BUSINESS,OPSNewBusiness
NEWBUSINESS,OPSNewBusiness
CLOSING,FLEETClosing
CLO,FLEETClosing
CLOS,FLEETClosing
